dacs,△G*oh,Z1,Z2,r1,r2,R1,R2,N1,N2,EP1,EP2,EA1,EA2,IE1,IE2
SnFe,-2.18409555,50,26,151,126,233,194,14,8,1.96,1.83,1.11207,0.153236,7.3439,7.9024
SnZr,-4.00015455,50,40,151,160,233,186,14,4,1.96,1.33,1.11207,0.433283,7.3439,6.6339
SnPd,-1.96445255,50,46,151,137,233,202,14,10,1.96,2.2,1.11207,0.56214,7.3439,8.3369
SnAu,-3.02158855,50,79,151,144,233,217,14,11,1.96,2.4,1.11207,2.30861,7.3439,9.2255
WTi,-2.42052055,74,22,139,147,210,187,6,4,1.7,1.54,0.8165,0.07554,7.864,6.8281
WNi,-1.55903155,74,28,139,124,210,184,6,10,1.7,1.91,0.8165,1.157368,7.864,7.6399
WTc,-2.01447355,74,43,139,136,210,209,6,7,1.7,2.1,0.8165,0.636,7.864,7.28
WSn,-5.20425155,74,50,139,151,210,233,6,14,1.7,1.96,0.8165,1.11207,7.864,7.3439
ReV,-0.62708755,75,23,137,134,217,179,7,5,1.9,1.63,0.060396,0.52766,7.8335,6.7462
ReMo,-0.84273055,75,42,137,139,217,209,7,6,1.9,2.16,0.060396,0.74723,7.8335,7.0924
ReW,-0.89563555,75,74,137,139,217,210,7,6,1.9,1.7,0.060396,0.8165,7.8335,7.864
RePt,-0.07684755,75,78,137,138.5,217,209,7,10,1.9,2.2,0.060396,2.1251,7.8335,8.9588
OsMn,0.97636645,76,25,135,127,216,197,8,7,2.2,1.55,1.077661,-0.5,8.4382,7.434
OsCo,0.92975345,76,27,135,125,216,192,8,9,2.2,1.88,1.077661,0.662255,8.4382,7.881
OsCu,0.82062245,76,29,135,128,216,186,8,11,2.2,1.9,1.077661,1.23578,8.4382,7.7264
OsPd,0.79384445,76,46,135,137,216,202,8,10,2.2,2.2,1.077661,0.56214,8.4382,8.3369
OsOs,0.67189645,76,76,135,135,216,216,8,8,2.2,2.2,1.077661,1.077661,8.4382,8.4382
IrCr,1.80350345,77,24,135.5,128,202,189,9,6,2.2,1.66,1.564057,0.675928,8.967,6.7665
IrFe,1.79024545,77,26,135.5,126,202,194,9,8,2.2,1.83,1.564057,0.153236,8.967,7.9024
IrZn,0.78661945,77,30,135.5,134,202,210,9,12,2.2,1.65,1.564057,-0.6,8.967,9.3942
IrRu,1.71470145,77,44,135.5,134,202,207,9,8,2.2,2.2,1.564057,1.04627,8.967,7.3605
IrAg,0.57953645,77,47,135.5,144,202,203,9,11,2.2,1.93,1.564057,1.30447,8.967,7.5762
IrIr,1.78338945,77,77,135.5,135.5,202,202,9,9,2.2,2.2,1.564057,1.564057,8.967,8.967
IrAu,0.50881545,77,79,135.5,144,202,217,9,11,2.2,2.4,1.564057,2.30861,8.967,9.2255
PtFe,2.09148445,78,26,138.5,126,209,194,10,8,2.2,1.83,2.1251,0.153236,8.9588,7.9024
PtCu,1.90599745,78,29,138.5,128,209,186,10,11,2.2,1.9,2.1251,1.23578,8.9588,7.7264
PtRh,1.74612645,78,45,138.5,134,209,195,10,9,2.2,2.28,2.1251,1.14289,8.9588,7.4589
PtOs,2.19414045,78,76,138.5,135,209,216,10,8,2.2,2.2,2.1251,1.077661,8.9588,8.4382
PtAu,1.79577045,78,79,138.5,144,209,217,10,11,2.2,2.4,2.1251,2.30861,8.9588,9.2255
AuPd,1.85978445,79,46,144,137,217,202,11,10,2.4,2.2,2.30861,0.56214,9.2255,8.3369
AuAu,1.77923345,79,79,144,144,217,217,11,11,2.4,2.4,2.30861,2.30861,9.2255,9.2255
