dacs,△Gooh,△Go,△Goh,Z_A,Z_B,r_A,r_B,R_A,R_B,N_A,N_B,EP_A,EP_B,EA_A,EA_B,IE_A,IE_B
CrNi,2.50274273,-0.505586178,-0.169196101,24,28,128,124,189,184,6,10,1.66,1.91,0.675928,1.157368,6.7665,7.6399
CrCu,2.374447475,-0.524071382,-0.02771445,24,29,128,128,189,186,6,11,1.66,1.9,0.675928,1.23578,6.7665,7.7264
CrZn,2.560281518,-0.143583053,-0.056740779,24,30,128,134,189,210,6,12,1.66,1.65,0.675928,-0.6,6.7665,9.3942
CrZr,-4.414548634,-2.475658828,-2.367778183,24,40,128,160,189,186,6,4,1.66,1.33,0.675928,0.433283,6.7665,6.6339
CrNb,-4.078653026,-1.872929211,-1.363391044,24,41,128,146,189,207,6,5,1.66,1.6,0.675928,0.9174,6.7665,6.7589
CrMo,2.745042679,-0.836776353,-0.567049657,24,42,128,139,189,209,6,6,1.66,2.16,0.675928,0.74723,6.7665,7.0924
CrTc,2.457019696,-0.316018848,-0.439329753,24,43,128,136,189,209,6,7,1.66,2.1,0.675928,0.636,6.7665,7.28
CrRu,2.974858726,0.211702399,-0.058944814,24,44,128,134,189,207,6,8,1.66,2.2,0.675928,1.04627,6.7665,7.3605
CrRh,3.028396127,0.238501425,-0.130053275,24,45,128,134,189,195,6,9,1.66,2.28,0.675928,1.14289,6.7665,7.4589
CrPd,2.749337485,0.019344405,-0.162517853,24,46,128,137,189,202,6,10,1.66,2.2,0.675928,0.56214,6.7665,8.3369
CrAg,2.373060673,-1.030810386,-0.349812565,24,47,128,144,189,203,6,11,1.66,1.93,0.675928,1.30447,6.7665,7.5762
CrCd,-3.415111149,-1.508113579,-1.150402172,24,48,128,148.9,189,230,6,12,1.66,1.69,0.675928,-0.7,6.7665,8.9938
CrIn,-4.210790025,-2.019662629,-3.159675574,24,49,128,167,189,236,6,13,1.66,1.78,0.675928,0.38392,6.7665,5.7864
CrSn,-4.0643702,-2.138380222,-3.803254813,24,50,128,151,189,233,6,14,1.66,1.96,0.675928,1.11207,6.7665,7.3439
CrW,2.457019696,-0.826072618,-0.675928496,24,74,128,139,189,210,6,6,1.66,1.7,0.675928,0.8165,6.7665,7.864
CrRe,2.468579546,-0.163472305,-0.429761492,24,75,128,137,189,217,6,7,1.66,1.9,0.675928,0.060396,6.7665,7.8335
CrOs,2.974858726,0.236368805,-0.121512891,24,76,128,135,189,216,6,8,1.66,2.2,0.675928,1.077661,6.7665,8.4382
CrIr,3.005185844,0.25080844,-0.039990006,24,77,128,135.5,189,202,6,9,1.66,2.2,0.675928,1.564057,6.7665,8.967
CrPt,2.681615686,-0.387506105,-0.150753923,24,78,128,138.5,189,209,6,10,1.66,2.2,0.675928,2.1251,6.7665,8.9588
CrAu,2.612290219,-1.09090429,-0.478968032,24,79,128,144,189,217,6,11,1.66,2.4,0.675928,2.30861,6.7665,9.2255
CrBi,-4.0643702,-2.194032316,-3.803254813,24,83,128,154.7,189,243,6,15,1.66,1.9,0.675928,0.942362,6.7665,7.2855
MnTi,-3.590812261,-0.196491058,-0.518017076,25,22,127,147,197,187,7,4,1.55,1.54,-0.5,0.07554,7.434,6.8281
MnV,0.270251841,1.082703579,0.27455554,25,23,127,134,197,179,7,5,1.55,1.63,-0.5,0.52766,7.434,6.7462
MnCr,3.481444439,1.151554388,0.519638935,25,24,127,128,197,189,7,6,1.55,1.66,-0.5,0.675928,7.434,6.7665
MnMn,3.493004288,1.209205416,0.584187022,25,25,127,127,197,197,7,7,1.55,1.55,-0.5,-0.5,7.434,7.434
MnFe,3.595433037,1.729859377,0.807737828,25,26,127,126,197,194,7,8,1.55,1.83,-0.5,0.153236,7.434,7.9024
MnCo,3.583873188,1.6158181,0.744524877,25,27,127,125,197,192,7,9,1.55,1.88,-0.5,0.662255,7.434,7.881
MnNi,3.45726526,1.201985255,0.507801902,25,28,127,124,197,184,7,10,1.55,1.91,-0.5,1.157368,7.434,7.6399
MnCu,3.44787758,1.17262708,0.649283553,25,29,127,128,197,186,7,11,1.55,1.9,-0.5,1.23578,7.434,7.7264
MnZn,3.508255803,1.466854647,0.620257224,25,30,127,134,197,210,7,12,1.55,1.65,-0.5,-0.6,7.434,9.3942
MnZr,-4.061812023,-0.384914134,-1.69078018,25,40,127,160,197,186,7,4,1.55,1.33,-0.5,0.433283,7.434,6.6339
MnNb,-3.955769422,0.085001347,-0.686393042,25,41,127,146,197,207,7,5,1.55,1.6,-0.5,0.9174,7.434,6.7589
MnMo,3.426400996,1.030815893,0.109948346,25,42,127,139,197,209,7,6,1.55,2.16,-0.5,0.74723,7.434,7.0924
MnTc,3.377812099,1.060773573,0.237668249,25,43,127,136,197,209,7,7,1.55,2.1,-0.5,0.636,7.434,7.28
MnRu,3.656217043,1.664370564,0.618053189,25,44,127,134,197,207,7,8,1.55,2.2,-0.5,1.04627,7.434,7.3605
MnRh,3.607398671,1.506586933,0.546944727,25,45,127,134,197,195,7,9,1.55,2.28,-0.5,1.14289,7.434,7.4589
MnPd,3.328340029,1.371028648,0.51448015,25,46,127,137,197,202,7,10,1.55,2.2,-0.5,0.56214,7.434,8.3369
MnAg,3.343281078,0.982496966,0.327185438,25,47,127,144,197,203,7,11,1.55,1.93,-0.5,1.30447,7.434,7.5762
MnCd,-3.084967107,0.685819231,-0.473404169,25,48,127,148.9,197,230,7,12,1.55,1.69,-0.5,-0.7,7.434,8.9938
MnIn,-4.040430454,-0.067735789,-2.482677572,25,49,127,167,197,236,7,13,1.55,1.78,-0.5,0.38392,7.434,5.7864
MnSn,-3.596637524,-0.177892804,-3.12625681,25,50,127,151,197,233,7,14,1.55,1.96,-0.5,1.11207,7.434,7.3439
MnW,3.452318591,1.072234061,0.001069507,25,74,127,139,197,210,7,6,1.55,1.7,-0.5,0.8165,7.434,7.864
MnRe,3.46387844,1.33265857,0.24723651,25,75,127,137,197,217,7,7,1.55,1.9,-0.5,0.060396,7.434,7.8335
MnOs,3.730723535,1.776558498,0.555485112,25,76,127,135,197,216,7,8,1.55,2.2,-0.5,1.077661,7.434,8.4382
