dacs,△G*ooh_true,△G*o_true,△G*oh_true,△G*ooh_pred,△G*o_pred,△G*oh_pred,Z_A,Z_B,r_A,r_B,R_A,R_B,N_A,N_B,EP_A,EP_B,EA_A,EA_B,IE_A,IE_B,d/p band_A,d/p band_B,dMAN,dMBN
CuCu,4.73047435,3.8346479,1.80126745,4.540447165,3.051648467,1.399804574,29,29,128,128,186,186,11,11,1.9,1.9,1.23578,1.23578,7.7264,7.7264,-3.65,-3.651,1.8897425,1.889725
CuRu,4.47064435,3.0636179,1.32966945,4.510022208,3.099788872,1.368574209,29,44,128,134,186,207,11,8,1.9,2.2,1.23578,1.04627,7.7264,7.3605,-3.899,-1.181,1.9565025,1.9246025
CuIr,4.39258335,2.8608509,0.83763145,4.549010356,3.108501015,1.387529017,29,77,128,135.5,186,202,11,9,1.9,2.2,1.23578,1.564057,7.7264,8.967,-3.487,-3.392,1.9648525,1.9398925
ZnMn,3.54056835,2.8757199,0.34569145,3.443040763,2.879181679,0.303520675,30,25,134,127,210,197,12,7,1.65,1.55,-0.6,-0.5,9.3942,7.434,-6.176,-2.539,1.9545775,1.888925
ZnZn,3.75163935,2.9259959,0.41461045,3.67367434,2.897625914,0.339590877,30,30,134,134,210,210,12,12,1.65,1.65,-0.6,-0.6,9.3942,9.3942,-6.464,-6.464,1.929755,1.9296575
ZnAg,3.52876135,2.7496019,0.15057145,3.492970099,2.736956082,0.046519091,30,47,134,144,210,203,12,11,1.65,1.93,-0.6,1.30447,9.3942,7.5762,-6.375,-5.741,1.931165,1.96825
ZnOs,2.97031135,2.0628739,-0.43331955,3.112601732,2.088809232,0.274818765,30,76,134,135,210,216,12,8,1.65,2.2,-0.6,1.077661,9.3942,8.4382,-7.094,-2.735,1.98884,1.9208025
ZrTi,-5.41969165,-4.8939491,-4.56854855,-5.516969263,-4.882875786,-4.584909174,40,22,160,147,186,187,4,4,1.33,1.54,0.433283,0.07554,6.6339,6.8281,0.494,1.357,2.0198425,1.9911375
ZrZr,-7.67926765,-6.5567671,-5.97739355,-7.649555722,-6.56323627,-5.757672278,40,40,160,160,186,186,4,4,1.33,1.33,0.433283,0.433283,6.6339,6.6339,0.286,-0.102,2.0208225,2.064575
ZrTc,-0.27815165,-2.5840771,-3.62110155,-0.160658254,-2.594502765,-3.829223849,40,43,160,136,186,209,4,7,1.33,2.1,0.433283,0.636,6.6339,7.28,1.313,-1.033,2.0436725,1.96479
ZrSn,-5.61571365,-5.9428091,-7.23764555,-5.643919941,-5.940127738,-7.193148908,40,50,160,151,186,233,4,14,1.33,1.96,0.433283,1.11207,6.6339,7.3439,0.164,-2.814,2.0126075,2.04984
NbCu,-1.97201065,-2.7783891,-2.68464755,-0.926639792,-2.750484118,-2.680521664,41,29,146,128,207,186,5,11,1.6,1.9,0.9174,1.23578,6.7589,7.7264,-0.557,-3.451,1.9717275,1.9593375
NbMo,0.47342635,-2.8564941,-3.08096955,0.157783781,-2.88037913,-3.219856871,41,42,146,139,207,209,5,6,1.6,2.16,0.9174,0.74723,6.7589,7.0924,0.551,-0.5,2.0094925,1.98547
NbCd,-3.88942665,-3.9603901,-3.81294255,-3.859332619,-3.948108203,-3.803209387,41,48,146,148.9,207,230,5,12,1.6,1.69,0.9174,-0.7,6.7589,8.9938,-0.065,-7.221,1.9682875,2.085705
NbRe,0.75409535,-2.4135901,-2.74072855,-0.08052679,-2.282459065,-3.082568707,41,75,146,137,207,217,5,7,1.6,1.9,0.9174,0.060396,6.7589,7.8335,-0.169,-1.658,1.99853,1.97127
MoV,-3.48254865,-2.1260801,-1.56971555,-3.441850866,-1.743855216,-1.276368182,42,23,139,134,209,179,6,5,2.16,1.63,0.74723,0.52766,7.0924,6.7462,-0.595,1.184,1.973875,1.9412025
MoNb,-5.12391865,-2.7877061,-1.99288055,-5.091677862,-2.79288799,-2.237316764,42,41,139,146,209,207,6,5,2.16,1.6,0.74723,0.9174,7.0924,6.7589,-0.217,0.681,1.9850525,2.010125
MoW,-3.72739665,-2.0961441,-1.82345055,-1.761348563,-2.097280538,-1.549854216,42,74,139,139,209,210,6,6,2.16,1.7,0.74723,0.8165,7.0924,7.864,-1.045,-0.623,1.9788775,1.976265
TcMn,3.04760835,-0.1365551,-0.06750155,2.876890804,-0.124745183,-0.175454278,43,25,136,127,209,197,7,7,2.1,1.55,0.636,-0.5,7.28,7.434,-1.206,-1.973,1.9402775,1.903005
TcZr,-4.66554165,-2.6099201,-2.56482255,-4.732475559,-2.624532134,-2.45042148,43,40,136,160,209,186,7,4,2.1,1.33,0.636,0.433283,7.28,6.6339,-1.006,1.25,1.964795,2.043745
TcRh,2.90975735,-0.2365851,-0.20443655,2.849330389,-0.202684993,-0.212696573,43,45,136,134,209,195,7,9,2.1,2.28,0.636,1.14289,7.28,7.4589,-1.162,-2.598,1.94946,1.9545525
RuCr,3.61030435,1.4772129,0.54067045,3.902265883,1.593624212,0.717150146,44,24,134,128,207,189,8,6,2.2,1.66,1.04627,0.675928,7.3605,6.7665,-1.044,-0.762,1.938945,1.9001
RuNi,3.94954735,1.3374199,0.90373845,3.862261757,1.315363855,0.705313114,44,28,134,124,207,184,8,10,2.2,1.91,1.04627,1.157368,7.3605,7.6399,-1.635,-2.588,1.9263525,1.8964575
RuRu,3.73734235,1.7506779,0.80733345,3.827551167,1.75110321,0.8155644,44,44,134,134,207,207,8,8,2.2,2.2,1.04627,1.04627,7.3605,7.3605,-2.134,-2.128,1.93244,1.93234
RuAg,3.49949535,1.0920169,0.43357845,3.572295235,1.093414484,0.524696649,44,47,134,144,207,203,8,11,2.2,1.93,1.04627,1.30447,7.3605,7.5762,-1.634,-4.005,1.923185,2.0383225
RuIr,3.79905635,1.8412179,0.81240545,3.857878284,1.771286293,0.834519208,44,77,134,135.5,207,202,8,9,2.2,2.2,1.04627,1.564057,7.3605,8.967,-1.391,-2.075,1.9437475,1.9497875
RhFe,4.73554535,3.5659069,1.75982645,4.688309831,3.59147027,1.474640843,45,26,134,126,195,194,9,8,2.28,1.83,1.14289,0.153236,7.4589,7.9024,-2.755,-1.322,2.018105,1.8691
RhZn,4.06160235,2.2358019,0.83911845,4.224278447,2.239566708,1.287160239,45,30,134,134,195,210,9,12,2.28,1.65,1.14289,-0.6,7.4589,9.3942,-1.919,-6.433,1.93808,1.96166
RhPd,4.04935935,2.6055909,1.11277245,4.137546399,2.648894868,1.181383165,45,46,134,137,195,202,9,10,2.28,2.2,1.14289,0.56214,7.4589,8.3369,-1.583,-3.311,1.935155,1.961505
RhOs,4.74832735,3.5216039,1.87364545,4.526477966,3.479310036,1.222388127,45,76,134,135,195,216,9,8,2.28,2.2,1.14289,1.077661,7.4589,8.4382,-2.691,-2.102,1.9519225,1.932585
RhPt,4.05737035,2.6065219,1.12001445,4.065166993,2.622991531,1.193147095,45,78,134,138.5,195,209,9,10,2.28,2.2,1.14289,2.1251,7.4589,8.9588,-3.329,-4.602,1.9395075,1.963695
PdCo,4.94103235,4.4137839,2.06075445,4.856672614,4.395708736,2.0478139,46,27,137,125,202,192,10,9,2.2,1.88,0.56214,0.662255,8.3369,7.881,-3.603,-1.283,1.9524025,1.8534525
PdRh,4.67639735,4.3184629,1.76984145,4.725777417,4.307600593,1.85023375,46,45,137,134,202,195,10,9,2.2,2.28,0.56214,1.14289,8.3369,7.4589,-4.049,-2.626,1.9615775,1.9350925
PdAg,4.61759835,3.9673969,1.76276645,4.485997381,3.935634752,1.630474461,46,47,137,144,202,203,10,11,2.2,1.93,0.56214,1.30447,8.3369,7.5762,-3.657,-5.799,1.9411625,1.9561625
PdIr,4.73931335,4.0970579,1.75876645,4.743140401,4.314960655,1.94029702,46,77,137,135.5,202,202,10,9,2.2,2.2,0.56214,1.564057,8.3369,8.967,-4.76,-3.324,1.9685425,1.939435
PdAu,4.59317835,3.9475179,1.76321145,4.47797023,3.93523432,1.501318994,46,79,137,144,202,217,10,11,2.2,2.4,0.56214,2.30861,8.3369,9.2255,-2.26,-5.006,1.9367225,1.9586125
AgCo,4.65274735,4.3679089,1.86840645,4.608197861,4.396171455,1.770337603,47,27,144,125,203,192,11,9,1.93,1.88,1.30447,0.662255,7.5762,7.881,-5.913,-0.65,1.9586325,1.8493525
AgCu,4.48289435,4.2916019,1.80674345,4.513503502,4.152304722,1.675096279,47,29,144,128,203,186,11,11,1.93,1.9,1.30447,1.23578,7.5762,7.7264,-5.32,-2.792,1.968195,1.8965375
AgPt,4.19499935,None,1.52520045,4.248719395,None,1.552056806,47,78,144,138.5,203,209,11,10,1.93,2.2,1.30447,2.1251,7.5762,8.9588,-4.402,-3.166,1.95312,1.947905
CdMn,1.85849135,1.0793529,-1.43726355,1.996096394,1.085545103,-1.159566657,48,25,148.9,127,230,197,12,7,1.69,1.55,-0.7,-0.5,8.9938,7.434,-8.073,-1.196,2.0594225,1.89147
CdZn,2.36158335,1.6172109,-0.89537355,2.336763719,1.622939477,-1.123496455,48,30,148.9,134,230,210,12,12,1.69,1.65,-0.7,-0.6,8.9938,9.3942,-8.263,-6.45,2.0322225,1.93398
SnFe,1.43601935,-0.9743491,-2.18409555,1.499462859,-0.989872972,-1.866532208,50,26,151,126,233,194,14,8,1.96,1.83,1.11207,0.153236,7.3439,7.9024,-6.198,-0.899,1.99197,1.856955
SnZr,-5.19304865,-5.9630131,-4.00015455,-5.18043862,-5.956131545,-4.365050215,50,40,151,160,233,186,14,4,1.96,1.33,1.11207,0.433283,7.3439,6.6339,-2.866,0.183,2.049765,2.012565
SnPd,1.59626335,-0.5893281,-1.96445255,1.50252202,-0.616562517,-2.159789886,50,46,151,137,233,202,14,10,1.96,2.2,1.11207,0.56214,7.3439,8.3369,-6.398,-3.829,1.9828225,1.9390225
SnAu,0.51677235,-1.8034771,-3.02158855,0.629721473,-1.776589594,-2.476240064,50,79,151,144,233,217,14,11,1.96,2.4,1.11207,2.30861,7.3439,9.2255,-4.027,-6.513,1.972365,1.9495625
WTi,-4.69988765,-3.1522751,-2.42052055,-4.715607927,-3.169126669,-2.47752428,74,22,139,147,210,187,6,4,1.7,1.54,0.8165,0.07554,7.864,6.8281,-0.498,1.464,1.95898,1.98563
WNi,-1.60256565,-2.4518341,-1.55903155,-1.553000042,-2.440784946,-1.451705303,74,28,139,124,210,184,6,10,1.7,1.91,0.8165,1.157368,7.864,7.6399,-1.417,-3.138,1.9421325,1.903745
WTc,-2.78276465,-2.3201791,-2.01447355,-1.845611043,-2.305042159,-1.721838955,74,43,139,136,210,209,6,7,1.7,2.1,0.8165,0.636,7.864,7.28,-0.674,-0.796,1.9670925,1.969765
WSn,-5.34158065,-5.7546271,-5.20425155,-5.433533046,-3.596343781,-5.085764015,74,50,139,151,210,233,6,14,1.7,1.96,0.8165,1.11207,7.864,7.3439,-1.118,-2.699,1.938895,2.0477075
ReV,-2.14034665,-0.8947821,-0.62708755,-2.039970404,-0.897633072,-0.577357313,75,23,137,134,217,179,7,5,1.9,1.63,0.060396,0.52766,7.8335,6.7462,-1.71,0.253,1.9571975,1.92727
ReMo,-2.46496765,-1.1550111,-0.84273055,0.928158006,-1.142453968,-0.741964507,75,42,137,139,217,209,7,6,1.9,2.16,0.060396,0.74723,7.8335,7.0924,-1.573,-1.371,1.97314,1.9707225
ReW,2.11141535,-1.1598791,-0.89563555,0.915923038,-1.140886172,-0.850843346,75,74,137,139,217,210,7,6,1.9,1.7,0.060396,0.8165,7.8335,7.864,-0.536,-0.8,1.96873,1.9737075
RePt,0.33023435,-0.4410011,-0.07684755,0.474565682,-0.462422196,-0.325668773,75,78,137,138.5,217,209,7,10,1.9,2.2,0.060396,2.1251,7.8335,8.9588,-1.869,-3.924,1.9479475,1.9922275
OsMn,4.07447435,1.5322269,0.97636645,3.958027245,1.492179098,0.772212133,76,25,135,127,216,197,8,7,2.2,1.55,1.077661,-0.5,8.4382,7.434,-1.962,-0.362,1.9394275,1.8943925
OsCo,3.99072535,1.5356919,0.92975345,3.973056151,1.50586957,0.932549988,76,27,135,125,216,192,8,9,2.2,1.88,1.077661,0.662255,8.4382,7.881,-2.159,-1.995,1.9306775,1.8793225
OsCu,3.82895635,0.8088679,0.82062245,3.824794076,0.829116251,0.837308664,76,29,135,128,216,186,8,11,2.2,1.9,1.077661,1.23578,8.4382,7.7264,-2.507,-3.413,1.925935,1.963775
OsPd,3.90104335,0.8820109,0.79384445,3.791100142,0.931339287,0.70250526,76,46,135,137,216,202,8,10,2.2,2.2,1.077661,0.56214,8.4382,8.3369,-2.15,-4.426,1.9271225,1.97357
OsOs,3.68277035,1.3664659,0.67189645,3.75009502,1.36212566,0.743510222,76,76,135,135,216,216,8,8,2.2,2.2,1.077661,1.077661,8.4382,8.4382,-2.904,-2.875,1.9422925,1.9421175
IrCr,4.77034035,3.0307009,1.80350345,4.70056265,3.008151144,1.539230171,77,24,135.5,128,202,189,9,6,2.2,1.66,1.564057,0.675928,8.967,6.7665,-0.785,1.171,1.950615,1.890915
IrFe,4.79767535,3.2075829,1.79024545,4.754469632,3.234959322,1.827329064,77,26,135.5,126,202,194,9,8,2.2,1.83,1.564057,0.153236,8.967,7.9024,-2.569,-1.315,1.9438425,1.87287
IrZn,4.21332035,1.7998959,0.78661945,4.1967629,1.799850252,1.63984846,77,30,135.5,134,202,210,9,12,2.2,1.65,1.564057,-0.6,8.967,9.3942,-2.423,-6.692,1.9420425,1.9647875
IrRu,4.61291835,3.0158979,1.71470145,4.582210431,2.987815817,1.637644425,77,44,135.5,134,202,207,9,8,2.2,2.2,1.564057,1.04627,8.967,7.3605,-3.283,-1.97,1.9497675,1.9335625
IrAg,3.64306135,2.0324999,0.57953645,3.901895266,2.083893287,1.346776674,77,47,135.5,144,202,203,9,11,2.2,1.93,1.564057,1.30447,8.967,7.5762,-2.332,-5.127,1.94135,2.0027775
IrIr,4.76553835,3.2297339,1.78338945,4.680436608,2.931916729,1.656599233,77,77,135.5,135.5,202,202,9,9,2.2,2.2,1.564057,1.564057,8.967,8.967,-3.045,-3.044,1.9509075,1.950825
IrAu,3.47036435,1.5168499,0.50881545,3.634584431,1.580585495,1.217621208,77,79,135.5,144,202,217,9,11,2.2,2.4,1.564057,2.30861,8.967,9.2255,-1.921,-5.906,1.9406875,1.9796875
PtFe,4.88199035,4.1064599,2.09148445,4.736069104,4.12407457,2.195032134,78,26,138.5,126,209,194,10,8,2.2,1.83,2.1251,0.153236,8.9588,7.9024,-3.199,-0.63,1.9230475,1.86987
PtCu,4.57138635,3.7221519,1.90599745,4.650937093,3.738864876,2.036577859,78,29,138.5,128,209,186,10,11,2.2,1.9,2.1251,1.23578,8.9588,7.7264,-2.495,-3.505,1.9337175,1.8947725
PtRh,4.75004835,3.8528579,1.74612645,4.679873692,4.014228041,1.934239033,78,45,138.5,134,209,195,10,9,2.2,2.28,2.1251,1.14289,8.9588,7.4589,-3.458,-3.043,1.963575,1.93954
PtOs,4.66903135,4.3174939,2.19414045,4.566770743,4.318584798,1.942779418,78,76,138.5,135,209,216,10,8,2.2,2.2,2.1251,1.077661,8.9588,8.4382,-4.558,-2.205,1.975105,1.932735
PtAu,4.62128135,3.6774769,1.79577045,4.491783263,3.63349813,1.585324277,78,79,138.5,144,209,217,10,11,2.2,2.4,2.1251,2.30861,8.9588,9.2255,-3.316,-5.123,1.9514075,1.9560325
AuNi,4.95455435,None,None,4.505814371,None,None,79,28,144,124,217,184,11,10,2.4,1.91,2.30861,1.157368,9.2255,7.6399,-5.23,-2.417,1.959975,1.849405
AuPd,4.75078035,None,1.85978445,4.683542658,None,1.963625204,79,46,144,137,217,202,11,10,2.4,2.2,2.30861,0.56214,9.2255,8.3369,-4.71,-2.248,1.9585575,1.936685
AuPt,4.69946335,None,None,4.593474549,None,None,79,78,144,138.5,217,209,11,10,2.4,2.2,2.30861,2.1251,9.2255,8.9588,-4.695,-3.363,1.9576525,1.943525
AuAu,4.39701935,4.1681069,1.77923345,4.427308505,4.165067393,1.647175026,79,79,144,144,217,217,11,11,2.4,2.4,2.30861,2.30861,9.2255,9.2255,-5.478,-5.477,1.952395,1.9523925
